Date,Country,Airport,Injury,Damage,Category,Broad Phase of Flight,longitude,latitude
03,01,United States,MAN,0,Substantial,Airplane,MANEUVERING,43.426945,-116.621111
02,10,United States,ARV,0,Substantial,Airplane,TAKEOFF,45.928056,-89.730834
01,06,United States,FNT,0,Substantial,Airplane,CRUISE,42.969167,-83.755278
07,14,United States,PVT,0,Substantial,Airplane,MANEUVERING,41.294166,-86.6225
01,27,United States,PVT,0,Substantial,Airplane,LANDING,46.445833,-120.363889
08,25,United States,Wn15,1,Substantial,Glider,LANDING,47.129167,-122.055833
08,19,United States,Y51,1,Destroyed,Helicopter,TAKEOFF,43.582778,-90.914444
08,18,United States,ILG,2,Substantial,Airplane,TAKEOFF,39.690555,-75.638333
08,05,United States,TMB,0,Substantial,Airplane,TAKEOFF,25.6475,-80.433334
07,21,United States,M48,0,Substantial,Airplane,TAKEOFF,37.333334,-91.966667
07,19,United States,OXB,0,Substantial,Airplane,LANDING,38.314444,-75.127778
07,03,United States,LWM,0,Substantial,Glider,MANEUVERING,42.740833,-71.095
06,26,United States,UNV,0,Substantial,Airplane,LANDING,40.85,-77.8475
06,06,United States,LAF,0,Substantial,Airplane,LANDING,40.412222,-86.936944
05,16,United Arab Emirates,OMDB,4,Destroyed,Airplane,APPROACH,25.214167,55.448055
05,15,United States,KJRA,0,Substantial,Helicopter,MANEUVERING,40.754444,-74.006944
05,12,United States,ORT,0,Substantial,Airplane,LANDING,62.961111,-141.928056
03,31,United States,PVF,0,Substantial,Airplane,CLIMB,38.728056,-120.745277
03,21,United States,4A2,0,Substantial,Airplane,TAXI,60.863889,-162.273889
02,25,United States,3J1,0,Substantial,Airplane,LANDING,32.491111,-80.993611
02,21,United States,FFT,0,Substantial,Airplane,GO-AROUND,38.11,-84.54
04,20,United States,STC,0,Substantial,Airplane,LANDING,45.548055,-94.069723
07,01,United States,FSM,0,Substantial,Airplane,CRUISE,35.334444,-94.265556
03,26,United States,EWK,0,Substantial,Airplane,APPROACH,38.056944,-97.275278
02,22,United States,3J1,0,Substantial,Airplane,LANDING,32.494166,-80.991111
02,21,United States,MMU,0,Substantial,Airplane,TAKEOFF,40.7975,-74.415833
05,27,United States,SUA,0,Substantial,Airplane,APPROACH,27.163333,-80.285833
09,13,United States,FWA,0,Substantial,Airplane,CRUISE,40.924445,-85.017223
07,14,United States,OEO,0,Substantial,Airplane,TAKEOFF,45.31,-92.69
07,13,United States,24SC,0,Substantial,Airplane,TAKEOFF,33.935833,-81.430834
07,10,United States,28J,0,Substantial,Airplane,LANDING,29.658333,-81.689444
